Position[mm]	Voltage[V]	
0,0	0,024	
0,5	0,022	
1,0	0,028	
1,5	0,024	
2,0	0,024	
2,5	0,022	
3,0	0,030	
3,5	0,032	
4,0	0,044	
4,5	0,043	
5,0	0,047	
5,5	0,044	
6,0	0,046	
6,5	0,044	
7,0	0,041	
7,5	0,046	
8,0	0,049	
8,5	0,098	
9,0	0,175	
9,5	0,208	
10,0	0,235	
10,5	0,198	
11,0	0,228	
11,5	0,201	
12,0	0,227	
12,5	0,194	
13,0	0,239	
13,5	0,214	
14,0	0,208	
14,5	0,241	
15,0	0,205	
15,5	0,210	
16,0	0,231	
16,5	0,201	
17,0	0,233	
17,5	0,203	
18,0	0,224	
18,5	0,233	
19,0	0,214	
19,5	0,227	
20,0	0,189	
20,5	0,214	
21,0	0,187	
21,5	0,225	
22,0	0,187	
22,5	0,220	
23,0	0,222	
23,5	0,198	
24,0	0,224	
24,5	0,192	
25,0	0,213	
25,5	0,211	
26,0	0,198	
26,5	0,207	
27,0	0,195	
27,5	0,216	
28,0	0,195	
28,5	0,211	
29,0	0,191	
29,5	0,192	
30,0	0,209	
30,5	0,181	
31,0	0,216	
31,5	0,200	
32,0	0,190	
32,5	0,219	
33,0	0,192	
33,5	0,205	
34,0	0,200	
34,5	0,178	
35,0	0,200	
35,5	0,178	
36,0	0,191	
36,5	0,198	
37,0	0,184	
37,5	0,198	
38,0	0,179	
38,5	0,192	
39,0	0,181	
39,5	0,198	
40,0	0,170	
40,5	0,205	
41,0	0,183	
41,5	0,173	
42,0	0,195	
42,5	0,175	
43,0	0,202	
43,5	0,178	
44,0	0,169	
44,5	0,192	
45,0	0,170	
45,5	0,189	
46,0	0,187	
46,5	0,172	
47,0	0,195	
47,5	0,178	
48,0	0,197	
48,5	0,172	
49,0	0,195	
49,5	0,167	
50,0	0,179	
50,5	0,191	
51,0	0,168	
51,5	0,200	
52,0	0,167	
52,5	0,184	
53,0	0,191	
53,5	0,173	
54,0	0,198	
54,5	0,167	
55,0	0,183	
55,5	0,181	
56,0	0,172	
56,5	0,197	
57,0	0,165	
57,5	0,187	
58,0	0,176	
58,5	0,169	
59,0	0,191	
59,5	0,173	
60,0	0,178	
60,5	0,175	
61,0	0,195	
61,5	0,168	
62,0	0,178	
62,5	0,188	
63,0	0,164	
63,5	0,198	
64,0	0,167	
64,5	0,191	
65,0	0,167	
65,5	0,186	
66,0	0,184	
66,5	0,176	
67,0	0,192	
67,5	0,181	
68,0	0,172	
68,5	0,192	
69,0	0,171	
69,5	0,172	
70,0	0,183	
70,5	0,170	
71,0	0,172	
71,5	0,195	
72,0	0,170	
72,5	0,181	
73,0	0,189	
73,5	0,172	
74,0	0,186	
74,5	0,189	
75,0	0,173	
75,5	0,183	
76,0	0,170	
76,5	0,197	
77,0	0,164	
77,5	0,195	
78,0	0,173	
78,5	0,178	
79,0	0,179	
79,5	0,178	
80,0	0,198	
80,5	0,175	
81,0	0,197	
81,5	0,169	
82,0	0,194	
82,5	0,170	
83,0	0,189	
83,5	0,189	
84,0	0,180	
84,5	0,200	
85,0	0,189	
85,5	0,173	
86,0	0,197	
86,5	0,168	
87,0	0,190	
87,5	0,167	
88,0	0,192	
88,5	0,172	
89,0	0,198	
89,5	0,176	
90,0	0,167	
90,5	0,192	
91,0	0,172	
91,5	0,178	
92,0	0,198	
92,5	0,181	
93,0	0,198	
93,5	0,172	
94,0	0,181	
94,5	0,197	
95,0	0,183	
95,5	0,200	
96,0	0,163	
96,5	0,194	
97,0	0,175	
97,5	0,178	
98,0	0,194	
98,5	0,172	
99,0	0,200	
99,5	0,179	
100,0	0,175	
100,5	0,191	
101,0	0,173	
101,5	0,179	
102,0	0,197	
102,5	0,184	
103,0	0,195	
103,5	0,176	
104,0	0,179	
104,5	0,198	
105,0	0,175	
105,5	0,193	
106,0	0,178	
106,5	0,198	
107,0	0,175	
107,5	0,186	
108,0	0,194	
108,5	0,183	
109,0	0,192	
109,5	0,178	
110,0	0,195	
110,5	0,175	
111,0	0,195	
111,5	0,195	
112,0	0,173	
112,5	0,193	
113,0	0,188	
113,5	0,197	
114,0	0,178	
114,5	0,194	
115,0	0,179	
115,5	0,184	
116,0	0,195	
116,5	0,184	
117,0	0,194	
117,5	0,184	
118,0	0,197	
118,5	0,192	
119,0	0,175	
119,5	0,200	
120,0	0,186	
120,5	0,183	
121,0	0,195	
121,5	0,191	
122,0	0,197	
122,5	0,189	
123,0	0,189	
123,5	0,203	
124,0	0,187	
124,5	0,197	
125,0	0,192	
125,5	0,186	
126,0	0,201	
126,5	0,187	
127,0	0,187	
127,5	0,206	
128,0	0,192	
128,5	0,195	
129,0	0,205	
129,5	0,190	
130,0	0,205	
130,5	0,195	
131,0	0,189	
131,5	0,208	
132,0	0,195	
132,5	0,209	
133,0	0,195	
133,5	0,195	
134,0	0,208	
134,5	0,194	
135,0	0,206	
135,5	0,197	
136,0	0,211	
136,5	0,198	
137,0	0,205	
137,5	0,200	
138,0	0,200	
138,5	0,214	
139,0	0,206	
139,5	0,211	
140,0	0,200	
140,5	0,208	
141,0	0,211	
141,5	0,200	
142,0	0,216	
142,5	0,205	
143,0	0,216	
143,5	0,205	
144,0	0,217	
144,5	0,205	
145,0	0,216	
145,5	0,201	
146,0	0,205	
146,5	0,217	
147,0	0,205	
147,5	0,220	
148,0	0,205	
148,5	0,217	
149,0	0,216	
149,5	0,205	
150,0	0,219	
150,5	0,209	
151,0	0,219	
151,5	0,217	
152,0	0,209	
152,5	0,220	
153,0	0,209	
153,5	0,222	
154,0	0,211	
154,5	0,222	
155,0	0,206	
155,5	0,220	
156,0	0,220	
156,5	0,209	
157,0	0,222	
157,5	0,209	
158,0	0,216	
158,5	0,224	
159,0	0,214	
159,5	0,223	
160,0	0,212	
160,5	0,225	
161,0	0,212	
161,5	0,232	
162,0	0,219	
162,5	0,225	
163,0	0,219	
163,5	0,219	
164,0	0,227	
164,5	0,219	
165,0	0,216	
165,5	0,225	
166,0	0,219	
166,5	0,225	
167,0	0,216	
167,5	0,227	
168,0	0,216	
168,5	0,231	
169,0	0,224	
169,5	0,214	
170,0	0,227	
170,5	0,207	
171,0	0,230	
171,5	0,214	
172,0	0,230	
172,5	0,219	
173,0	0,230	
173,5	0,219	
174,0	0,228	
174,5	0,224	
175,0	0,219	
175,5	0,228	
176,0	0,212	
176,5	0,231	
177,0	0,212	
177,5	0,233	
178,0	0,219	
178,5	0,233	
179,0	0,217	
179,5	0,234	
180,0	0,217	
180,5	0,230	
181,0	0,216	
181,5	0,216	
182,0	0,230	
182,5	0,222	
183,0	0,231	
183,5	0,217	
184,0	0,220	
