Position[mm]	Voltage[V]	
0,0	0,026	
0,5	0,028	
1,0	0,028	
1,5	0,022	
2,0	0,024	
2,5	0,024	
3,0	0,027	
3,5	0,039	
4,0	0,049	
4,5	0,042	
5,0	0,047	
5,5	0,044	
6,0	0,039	
6,5	0,044	
7,0	0,038	
7,5	0,044	
8,0	0,065	
8,5	0,125	
9,0	0,220	
9,5	0,205	
10,0	0,235	
10,5	0,193	
11,0	0,222	
11,5	0,203	
12,0	0,241	
12,5	0,208	
13,0	0,212	
13,5	0,222	
14,0	0,203	
14,5	0,235	
15,0	0,206	
15,5	0,219	
16,0	0,216	
16,5	0,206	
17,0	0,235	
17,5	0,200	
18,0	0,219	
18,5	0,205	
19,0	0,228	
19,5	0,191	
20,0	0,206	
20,5	0,225	
21,0	0,206	
21,5	0,227	
22,0	0,191	
22,5	0,225	
23,0	0,203	
23,5	0,195	
24,0	0,222	
24,5	0,195	
25,0	0,220	
25,5	0,201	
26,0	0,219	
26,5	0,186	
27,0	0,202	
27,5	0,211	
28,0	0,190	
28,5	0,211	
29,0	0,189	
29,5	0,211	
30,0	0,181	
30,5	0,187	
31,0	0,203	
31,5	0,181	
32,0	0,191	
32,5	0,208	
33,0	0,194	
33,5	0,208	
34,0	0,179	
34,5	0,197	
35,0	0,186	
35,5	0,206	
36,0	0,173	
36,5	0,181	
37,0	0,194	
37,5	0,175	
38,0	0,202	
38,5	0,191	
39,0	0,173	
39,5	0,199	
40,0	0,176	
40,5	0,206	
41,0	0,170	
41,5	0,176	
42,0	0,197	
42,5	0,186	
43,0	0,197	
43,5	0,169	
44,0	0,194	
44,5	0,172	
45,0	0,202	
45,5	0,175	
46,0	0,181	
46,5	0,183	
47,0	0,180	
47,5	0,203	
48,0	0,170	
48,5	0,176	
49,0	0,186	
49,5	0,167	
50,0	0,191	
50,5	0,187	
51,0	0,179	
51,5	0,192	
52,0	0,175	
52,5	0,194	
53,0	0,168	
53,5	0,195	
54,0	0,175	
54,5	0,197	
55,0	0,180	
55,5	0,172	
56,0	0,197	
56,5	0,165	
57,0	0,197	
57,5	0,170	
58,0	0,194	
58,5	0,169	
59,0	0,173	
59,5	0,192	
60,0	0,167	
60,5	0,186	
61,0	0,191	
61,5	0,170	
62,0	0,197	
62,5	0,163	
63,0	0,181	
63,5	0,172	
64,0	0,187	
64,5	0,165	
65,0	0,195	
65,5	0,170	
66,0	0,178	
66,5	0,187	
67,0	0,173	
67,5	0,195	
68,0	0,178	
68,5	0,175	
69,0	0,186	
69,5	0,178	
70,0	0,187	
70,5	0,170	
71,0	0,193	
71,5	0,173	
72,0	0,194	
72,5	0,170	
73,0	0,186	
73,5	0,181	
74,0	0,172	
74,5	0,197	
75,0	0,167	
75,5	0,198	
76,0	0,169	
76,5	0,194	
77,0	0,167	
77,5	0,176	
78,0	0,195	
78,5	0,167	
79,0	0,172	
79,5	0,192	
80,0	0,175	
80,5	0,192	
81,0	0,173	
81,5	0,197	
82,0	0,175	
82,5	0,198	
83,0	0,184	
83,5	0,170	
84,0	0,194	
84,5	0,170	
85,0	0,178	
85,5	0,198	
86,0	0,175	
86,5	0,197	
87,0	0,173	
87,5	0,183	
88,0	0,194	
88,5	0,176	
89,0	0,195	
89,5	0,187	
90,0	0,187	
90,5	0,178	
91,0	0,184	
91,5	0,200	
92,0	0,176	
92,5	0,195	
93,0	0,186	
93,5	0,173	
94,0	0,198	
94,5	0,179	
95,0	0,190	
95,5	0,186	
96,0	0,178	
96,5	0,190	
97,0	0,184	
97,5	0,179	
98,0	0,198	
98,5	0,173	
99,0	0,189	
99,5	0,189	
100,0	0,179	
100,5	0,195	
101,0	0,175	
101,5	0,193	
102,0	0,181	
102,5	0,198	
103,0	0,184	
103,5	0,173	
104,0	0,198	
104,5	0,179	
105,0	0,200	
105,5	0,176	
106,0	0,178	
106,5	0,198	
107,0	0,178	
107,5	0,194	
108,0	0,194	
108,5	0,178	
109,0	0,195	
109,5	0,173	
110,0	0,195	
110,5	0,190	
111,0	0,181	
111,5	0,189	
112,0	0,190	
112,5	0,197	
113,0	0,187	
113,5	0,202	
114,0	0,181	
114,5	0,176	
115,0	0,195	
115,5	0,181	
116,0	0,192	
116,5	0,194	
117,0	0,179	
117,5	0,198	
118,0	0,183	
118,5	0,195	
119,0	0,198	
119,5	0,184	
120,0	0,178	
120,5	0,195	
121,0	0,184	
121,5	0,201	
122,0	0,186	
122,5	0,200	
123,0	0,178	
123,5	0,189	
124,0	0,200	
124,5	0,194	
125,0	0,205	
125,5	0,187	
126,0	0,195	
126,5	0,203	
127,0	0,189	
127,5	0,201	
128,0	0,192	
128,5	0,198	
129,0	0,195	
129,5	0,192	
130,0	0,201	
130,5	0,201	
131,0	0,203	
131,5	0,194	
132,0	0,209	
132,5	0,190	
133,0	0,200	
133,5	0,203	
134,0	0,195	
134,5	0,211	
135,0	0,198	
135,5	0,203	
136,0	0,206	
136,5	0,200	
137,0	0,212	
137,5	0,195	
138,0	0,211	
138,5	0,206	
139,0	0,201	
139,5	0,216	
140,0	0,207	
140,5	0,211	
141,0	0,203	
141,5	0,216	
142,0	0,203	
142,5	0,213	
143,0	0,200	
143,5	0,208	
144,0	0,213	
144,5	0,206	
145,0	0,216	
145,5	0,201	
146,0	0,211	
146,5	0,219	
147,0	0,209	
147,5	0,214	
148,0	0,213	
148,5	0,217	
149,0	0,208	
149,5	0,220	
150,0	0,209	
150,5	0,217	
151,0	0,212	
151,5	0,209	
152,0	0,220	
152,5	0,212	
153,0	0,224	
153,5	0,220	
154,0	0,211	
154,5	0,220	
155,0	0,212	
155,5	0,227	
156,0	0,212	
156,5	0,211	
157,0	0,222	
157,5	0,218	
158,0	0,219	
158,5	0,216	
159,0	0,225	
159,5	0,219	
160,0	0,230	
160,5	0,219	
161,0	0,219	
161,5	0,228	
162,0	0,220	
162,5	0,231	
163,0	0,214	
163,5	0,216	
164,0	0,230	
164,5	0,222	
165,0	0,234	
165,5	0,217	
166,0	0,220	
166,5	0,227	
167,0	0,219	
167,5	0,231	
168,0	0,214	
168,5	0,225	
169,0	0,230	
169,5	0,220	
170,0	0,232	
170,5	0,224	
171,0	0,231	
171,5	0,220	
172,0	0,233	
172,5	0,222	
173,0	0,222	
173,5	0,228	
174,0	0,220	
174,5	0,233	
175,0	0,219	
175,5	0,219	
176,0	0,233	
176,5	0,220	
177,0	0,234	
177,5	0,222	
178,0	0,225	
178,5	0,217	
179,0	0,230	
179,5	0,217	
180,0	0,225	
180,5	0,231	
181,0	0,222	
181,5	0,234	
182,0	0,222	
182,5	0,230	
183,0	0,217	
183,5	0,231	
184,0	0,217	
184,5	0,228	
185,0	0,227	
185,5	0,220	
186,0	0,231	
186,5	0,220	
187,0	0,228	
187,5	0,228	
188,0	0,224	
188,5	0,231	
189,0	0,217	
189,5	0,231	
190,0	0,213	
190,5	0,228	
191,0	0,214	
191,5	0,227	
192,0	0,230	
192,5	0,224	
193,0	0,231	
193,5	0,222	
194,0	0,230	
194,5	0,222	
195,0	0,217	
195,5	0,228	
196,0	0,219	
196,5	0,230	
197,0	0,222	
197,5	0,223	
198,0	0,228	
198,5	0,219	
199,0	0,230	
199,5	0,222	
200,0	0,217	
200,5	0,228	
201,0	0,222	
201,5	0,219	
202,0	0,217	
202,5	0,227	
203,0	0,219	
203,5	0,230	
204,0	0,217	
204,5	0,216	
205,0	0,222	
205,5	0,219	
206,0	0,227	
206,5	0,211	
207,0	0,227	
207,5	0,212	
208,0	0,224	
208,5	0,214	
209,0	0,222	
209,5	0,220	
210,0	0,214	
210,5	0,222	
211,0	0,212	
211,5	0,223	
212,0	0,212	
212,5	0,213	
213,0	0,220	
213,5	0,209	
214,0	0,222	
214,5	0,213	
215,0	0,214	
215,5	0,217	
216,0	0,213	
216,5	0,222	
217,0	0,208	
217,5	0,218	
218,0	0,209	
218,5	0,216	
219,0	0,211	
219,5	0,209	
220,0	0,216	
220,5	0,209	
221,0	0,217	
221,5	0,206	
222,0	0,209	
222,5	0,216	
223,0	0,206	
223,5	0,214	
224,0	0,206	
224,5	0,206	
225,0	0,211	
225,5	0,205	
226,0	0,214	
226,5	0,208	
227,0	0,205	
227,5	0,209	
228,0	0,205	
228,5	0,212	
229,0	0,203	
229,5	0,209	
230,0	0,201	
230,5	0,208	
231,0	0,203	
231,5	0,203	
232,0	0,205	
232,5	0,202	
233,0	0,209	
233,5	0,202	
234,0	0,200	
234,5	0,202	
235,0	0,198	
235,5	0,208	
236,0	0,200	
236,5	0,197	
237,0	0,203	
237,5	0,197	
238,0	0,208	
238,5	0,195	
239,0	0,203	
239,5	0,200	
240,0	0,205	
240,5	0,195	
241,0	0,198	
241,5	0,197	
242,0	0,194	
242,5	0,203	
243,0	0,197	
243,5	0,197	
244,0	0,198	
244,5	0,194	
245,0	0,198	
245,5	0,192	
246,0	0,194	
246,5	0,198	
247,0	0,194	
247,5	0,197	
248,0	0,191	
248,5	0,197	
249,0	0,191	
249,5	0,195	
250,0	0,183	
250,5	0,198	
251,0	0,191	
251,5	0,189	
252,0	0,195	
252,5	0,191	
253,0	0,194	
253,5	0,189	
254,0	0,189	
254,5	0,190	
255,0	0,189	
255,5	0,194	
256,0	0,186	
256,5	0,191	
257,0	0,192	
257,5	0,187	
258,0	0,191	
258,5	0,190	
259,0	0,189	
259,5	0,184	
260,0	0,191	
260,5	0,187	
261,0	0,184	
261,5	0,191	
262,0	0,186	
262,5	0,191	
263,0	0,186	
263,5	0,186	
264,0	0,187	
264,5	0,183	
265,0	0,191	
265,5	0,186	
266,0	0,181	
266,5	0,186	
267,0	0,184	
267,5	0,187	
268,0	0,184	
268,5	0,189	
269,0	0,183	
269,5	0,185	
270,0	0,184	
270,5	0,181	
271,0	0,186	
271,5	0,181	
272,0	0,184	
272,5	0,181	
273,0	0,183	
273,5	0,183	
274,0	0,187	
274,5	0,178	
275,0	0,186	
275,5	0,184	
276,0	0,181	
276,5	0,189	
277,0	0,180	
277,5	0,185	
278,0	0,181	
278,5	0,183	
279,0	0,176	
279,5	0,183	
280,0	0,179	
280,5	0,178	
281,0	0,178	
281,5	0,178	
282,0	0,183	
282,5	0,178	
