Position[mm]	Voltage[V]	
0,0	0,024	
0,5	0,019	
1,0	0,018	
1,5	0,017	
2,0	0,019	
2,5	0,019	
3,0	0,020	
3,5	0,019	
4,0	0,019	
4,5	0,016	
5,0	0,016	
5,5	0,020	
6,0	0,014	
6,5	0,016	
7,0	0,021	
7,5	0,014	
8,0	0,020	
8,5	0,019	
9,0	0,014	
9,5	0,024	
10,0	0,014	
10,5	0,016	
11,0	0,016	
11,5	0,019	
12,0	0,016	
12,5	0,017	
13,0	0,013	
13,5	0,017	
14,0	0,017	
14,5	0,019	
15,0	0,019	
15,5	0,019	
16,0	0,014	
16,5	0,021	
17,0	0,019	
17,5	0,020	
18,0	0,019	
18,5	0,017	
19,0	0,013	
19,5	0,014	
20,0	0,017	
20,5	0,020	
21,0	0,016	
21,5	0,016	
22,0	0,024	
22,5	0,017	
23,0	0,017	
23,5	0,019	
24,0	0,019	
24,5	0,019	
25,0	0,014	
25,5	0,019	
26,0	0,016	
26,5	0,017	
27,0	0,024	
27,5	0,016	
28,0	0,018	
28,5	0,019	
29,0	0,019	
29,5	0,016	
30,0	0,024	
30,5	0,016	
31,0	0,017	
31,5	0,019	
32,0	0,021	
32,5	0,020	
33,0	0,022	
33,5	0,031	
34,0	0,033	
34,5	0,036	
35,0	0,039	
35,5	0,050	
36,0	0,058	
36,5	0,063	
37,0	0,069	
37,5	0,064	
38,0	0,072	
38,5	0,086	
39,0	0,097	
39,5	0,105	
40,0	0,116	
40,5	0,126	
41,0	0,124	
41,5	0,132	
42,0	0,146	
42,5	0,197	
43,0	0,255	
43,5	0,316	
44,0	0,376	
44,5	0,433	
45,0	0,433	
45,5	0,392	
46,0	0,367	
46,5	0,341	
47,0	0,319	
47,5	0,285	
48,0	0,288	
48,5	0,318	
49,0	0,334	
49,5	0,353	
50,0	0,408	
50,5	0,413	
51,0	0,365	
51,5	0,279	
52,0	0,181	
52,5	0,122	
53,0	0,106	
53,5	0,093	
54,0	0,104	
54,5	0,113	
55,0	0,112	
55,5	0,091	
56,0	0,065	
56,5	0,044	
57,0	0,044	
57,5	0,041	
58,0	0,033	
58,5	0,024	
59,0	0,025	
59,5	0,024	
60,0	0,022	
60,5	0,021	
61,0	0,021	
61,5	0,016	
62,0	0,024	
62,5	0,022	
63,0	0,019	
63,5	0,017	
64,0	0,019	
64,5	0,016	
65,0	0,016	
65,5	0,016	
66,0	0,017	
66,5	0,019	
67,0	0,019	
67,5	0,019	
68,0	0,016	
68,5	0,016	
69,0	0,024	
69,5	0,016	
70,0	0,017	
70,5	0,016	
71,0	0,017	
71,5	0,014	
72,0	0,019	
72,5	0,014	
73,0	0,017	
73,5	0,014	
74,0	0,016	
74,5	0,016	
75,0	0,024	
75,5	0,017	
76,0	0,016	
76,5	0,022	
77,0	0,016	
77,5	0,024	
78,0	0,022	
78,5	0,016	
79,0	0,013	
79,5	0,016	
80,0	0,016	
80,5	0,017	
81,0	0,016	
81,5	0,022	
82,0	0,017	
82,5	0,019	
83,0	0,016	
83,5	0,017	
84,0	0,019	
84,5	0,018	
85,0	0,024	
85,5	0,016	
86,0	0,024	
86,5	0,016	
87,0	0,011	
87,5	0,016	
88,0	0,016	
88,5	0,016	
89,0	0,016	
89,5	0,017	
90,0	0,010	
90,5	0,014	
91,0	0,017	
91,5	0,021	
92,0	0,024	
92,5	0,013	
93,0	0,014	
93,5	0,019	
94,0	0,019	
94,5	0,019	
95,0	0,016	
95,5	0,019	
96,0	0,019	
96,5	0,022	
97,0	0,025	
97,5	0,022	
98,0	0,016	
98,5	0,022	
99,0	0,017	
99,5	0,019	
100,0	0,019	
100,5	0,000	
