Position[mm]	Voltage[V]	
0,0	0,017	
0,5	0,014	
1,0	0,017	
1,5	0,013	
2,0	0,024	
2,5	0,014	
3,0	0,016	
3,5	0,017	
4,0	0,016	
4,5	0,020	
5,0	0,014	
5,5	0,021	
6,0	0,021	
6,5	0,016	
7,0	0,014	
7,5	0,016	
8,0	0,015	
8,5	0,016	
9,0	0,013	
9,5	0,017	
10,0	0,014	
10,5	0,013	
11,0	0,014	
11,5	0,019	
12,0	0,017	
12,5	0,019	
13,0	0,020	
13,5	0,020	
14,0	0,017	
14,5	0,016	
15,0	0,019	
15,5	0,021	
16,0	0,017	
16,5	0,017	
17,0	0,026	
17,5	0,019	
18,0	0,014	
18,5	0,021	
19,0	0,027	
19,5	0,016	
20,0	0,022	
20,5	0,014	
21,0	0,020	
21,5	0,017	
22,0	0,017	
22,5	0,017	
23,0	0,020	
23,5	0,017	
24,0	0,017	
24,5	0,017	
25,0	0,022	
25,5	0,016	
26,0	0,013	
26,5	0,010	
27,0	0,011	
27,5	0,014	
28,0	0,022	
28,5	0,017	
29,0	0,016	
29,5	0,019	
30,0	0,016	
30,5	0,019	
31,0	0,019	
31,5	0,022	
32,0	0,017	
32,5	0,023	
33,0	0,024	
33,5	0,035	
34,0	0,039	
34,5	0,045	
35,0	0,042	
35,5	0,046	
36,0	0,057	
36,5	0,069	
37,0	0,087	
37,5	0,102	
38,0	0,121	
38,5	0,128	
39,0	0,137	
39,5	0,151	
40,0	0,172	
40,5	0,210	
41,0	0,263	
41,5	0,307	
42,0	0,335	
42,5	0,342	
43,0	0,332	
43,5	0,306	
44,0	0,285	
44,5	0,289	
45,0	0,280	
45,5	0,264	
46,0	0,318	
46,5	0,379	
47,0	0,414	
47,5	0,451	
48,0	0,462	
48,5	0,458	
49,0	0,447	
49,5	0,427	
50,0	0,403	
50,5	0,335	
51,0	0,230	
51,5	0,150	
52,0	0,123	
52,5	0,112	
53,0	0,110	
53,5	0,128	
54,0	0,127	
54,5	0,120	
55,0	0,101	
55,5	0,069	
56,0	0,046	
56,5	0,047	
57,0	0,046	
57,5	0,036	
58,0	0,025	
58,5	0,032	
59,0	0,025	
59,5	0,017	
60,0	0,021	
60,5	0,022	
61,0	0,020	
61,5	0,019	
62,0	0,020	
62,5	0,014	
63,0	0,017	
63,5	0,016	
64,0	0,017	
64,5	0,019	
65,0	0,017	
65,5	0,022	
66,0	0,019	
66,5	0,017	
67,0	0,017	
67,5	0,016	
68,0	0,019	
68,5	0,022	
69,0	0,014	
69,5	0,016	
70,0	0,016	
70,5	0,014	
71,0	0,019	
71,5	0,019	
72,0	0,021	
72,5	0,016	
73,0	0,019	
73,5	0,014	
74,0	0,017	
74,5	0,019	
75,0	0,014	
75,5	0,014	
76,0	0,014	
76,5	0,020	
77,0	0,019	
77,5	0,020	
78,0	0,019	
78,5	0,022	
79,0	0,017	
79,5	0,020	
80,0	0,014	
80,5	0,011	
81,0	0,022	
81,5	0,025	
82,0	0,017	
82,5	0,020	
83,0	0,016	
83,5	0,021	
84,0	0,016	
84,5	0,021	
85,0	0,016	
85,5	0,014	
86,0	0,013	
86,5	0,019	
87,0	0,017	
87,5	0,019	
88,0	0,016	
88,5	0,021	
89,0	0,016	
89,5	0,022	
90,0	0,013	
90,5	0,013	
91,0	0,023	
91,5	0,016	
92,0	0,020	
92,5	0,019	
93,0	0,017	
93,5	0,017	
94,0	0,022	
94,5	0,017	
95,0	0,014	
95,5	0,019	
96,0	0,016	
96,5	0,016	
97,0	0,016	
97,5	0,013	
98,0	0,019	
98,5	0,024	
99,0	0,022	
99,5	0,018	
100,0	0,008	
100,5	0,000	
